AppId,Title,Target_Users
com.shikudo.fitrpg.google,Fitness RPG: Walking Games,1 Patients / Health-conscious Individuals
ipnossoft.rma.free,BetterSleep: Sleep tracker,1 Patients / Health-conscious Individuals
com.ovuline.fertility,Ovia Cycle & Pregnancy Tracker,1 Patients / Health-conscious Individuals
sworkitapp.sworkit.com,Sworkit: Fitness & Workouts,1 Patients / Health-conscious Individuals
com.eduven.ld.dict.foodTech,Food Science & Nutrition App,2 Healthcare Professionals / Medical Students
com.lawfully.lawfully_ai_tracker,US Immigration Case Tracker,3 Other / Unclear Audience
com.mdlive.mobile,MDLIVE: Talk to a Doctor 24/7,1 Patients / Health-conscious Individuals
com.mapmyrun.android2,Map My Run GPS Running Tracker,1 Patients / Health-conscious Individuals
com.tjd.tjdmainS2,Lefun Health,1 Patients / Health-conscious Individuals
com.urbandroid.sleep,Sleep as Android: Smart alarm,1 Patients / Health-conscious Individuals
com.aospstudio.care,Device Care: Device Health,3 Other / Unclear Audience
com.pravisht.MhbMobile,MyHealthBuddy: Diet & Fitness,1 Patients / Health-conscious Individuals
medicaljoyworks.com.explainmedicine,Explain Medicine,2 Healthcare Professionals / Medical Students
com.axel_stein.glucose_tracker,Diabetes Tracker,1 Patients / Health-conscious Individuals
com.westsamoaconsult.labtests,Medical Lab Tests,2 Healthcare Professionals / Medical Students
cc.phk.knowdrugs,KnowDrugs Drug Checking,1 Patients / Health-conscious Individuals
com.wayoflife.app,Way of Life: habit tracker,1 Patients / Health-conscious Individuals
io.snaq.app,SNAQ - Diabetes Food Tracker,1 Patients / Health-conscious Individuals
co.vearth.helf,HELF - Health Knowledge AI,2 Healthcare Professionals / Medical Students
com.fitnesskeeper.runkeeper.pro,ASICS Runkeeper - Run Tracker,1 Patients / Health-conscious Individuals
com.catfishanimationstudio.AnatomyForTheArtistLite,3D Anatomy for the Artist,3 Other / Unclear Audience
com.remente.app,"Remente: Self Care, Wellbeing",1 Patients / Health-conscious Individuals
com.medisafe.android.client,Medisafe Pill & Med Reminder,1 Patients / Health-conscious Individuals
com.yazio.android,YAZIO: AI Calorie Tracker,1 Patients / Health-conscious Individuals
com.kenhub.dailyanatomy.musclesandbones,Daily Anatomy Flashcards,2 Healthcare Professionals / Medical Students
com.skincheck.cancerscreening.melanoma.mole.check,Skin Check: Dermatology App,1 Patients / Health-conscious Individuals
app.medicalid.free,Medical ID,1 Patients / Health-conscious Individuals
air.com.musclemotion.anatomy,Anatomy by M&M,2 Healthcare Professionals / Medical Students
com.mysosfamily,My SOS Family Emergency Alerts,1 Patients / Health-conscious Individuals
app.setgraph,Setgraph: Workout Log,1 Patients / Health-conscious Individuals
