AppId,Title,group,Nb_Reviews,Latest_Review_Date,Nb_Installs,Free,eligible
com.quantresearch.exam.nursing,NCLEX RN / PN. Nursing Mastery,,31,2025-01-26,"10,000+",True,False
co.swasth.cbtcompanion,CBT Companion: Therapy app,HSC,100,2025-08-25,"100,000+",True,True
com.hssn.anatomyfree,Visual Anatomy Lite,HSP,100,2025-08-16,"1,000,000+",True,True
com.mcqs.basic_radiology,Basic Radiology,HSP,80,2025-07-29,"100,000+",True,True
fr.adixon.radiologymeasurements.RadiologyMeasurements,Radiology Measurements,,25,2025-05-20,"50,000+",True,False
com.hltcorp.demosoncology,Oncology Board Review,,5,2023-09-22,"5,000+",True,False
com.sanaedutech.pharma,Pharmacology Quiz,HSP,100,2025-08-07,"50,000+",True,True
com.cube.arc.hzd,Emergency: Severe Weather App,other,100,2025-09-02,"100,000+",True,True
com.svgapps.glucose,Glucose Tracker - Blood Sugar,,5,2024-12-13,"5,000+",True,False
com.clue.android,Clue Cycle & Period Tracker,,100,2025-09-04,"50,000,000+",True,False
com.glow.android.nurture,Pregnancy Tracker App | Glow,HSC,100,2025-09-04,"1,000,000+",True,True
com.medpresso.Lonestar.skyscaperx,Skyscape Rx - Drug Guide,,22,2024-12-21,"5,000+",True,False
com.olearis.uplife,UpLife: Mental Health Therapy,,100,2025-06-23,"100,000+",True,True
com.tactustherapy.languagetherapy.lite,Language Therapy Lite,,37,2025-08-30,"50,000+",True,False
com.cerebral.cerebral,Cerebral - Mental Health,HSC,100,2025-09-01,"100,000+",True,True
com.h2sync.android.h2syncapp,Health2Sync - Diabetes Tracker,HSC,100,2025-08-30,"1,000,000+",True,True
ru.DmitryLomakin.ReanimationInc,Doctor 911 Hospital Simulator,other,100,2025-09-04,"5,000,000+",True,True
jp.pokemon.pokemonsleep,Pokémon Sleep,other,100,2025-09-04,"5,000,000+",True,True
com.medihelpapp.medihelp,MediHelp: Drug Guide & Dosing,HSP,100,2025-08-27,"10,000+",True,True
com.mintrocket.med_history,Family medical record,,6,2025-07-20,"10,000+",True,False
com.milieu.prescription,Prescription maker with drug d,,100,2025-01-25,"10,000+",True,False
com.tactustherapy.writingtherapy,Writing Therapy,,1,2018-11-30,500+,False,False
org.blubblub.app.speechblubs,Speech Blubs: Language Therapy,HSC,100,2025-09-04,"1,000,000+",True,True
com.atomengineapps.teachmeanatomy,Teach Me Anatomy,HSP,100,2025-09-04,"1,000,000+",True,True
com.healthifyme.basic,Healthify: AI Diet & Fitness,HSC,100,2025-09-04,"10,000,000+",True,True
com.medpresso.Lonestar.drugguide,Davis’s Drug Guide for Nurses,HSP,57,2025-08-21,"100,000+",True,True
org.trinity.health,Trinity Health MyChart,HSC,100,2025-09-04,"100,000+",True,True
com.picmonic.androidapp.medicine,Picmonic Medical School Study,HSP,75,2025-07-11,"50,000+",True,True
com.wachanga.womancalendar,Clover－Period & Cycle Tracker,HSC,100,2025-09-03,"5,000,000+",True,True
com.nike.ntc,Nike Training Club: Fitness,HSC,100,2025-09-02,"10,000,000+",True,True
co.au.goalhero,Habit Hunter: RPG goal tracker,other,100,2025-09-04,"50,000+",True,True
com.vos.app,"VOS: Mental Health, AI Therapy",HSC,100,2025-08-18,"1,000,000+",True,True
com.sillens.shapeupclub,Lifesum: AI Calorie Tracker,HSC,100,2025-09-03,"10,000,000+",True,True
com.anatomist.app,Anatomist - The Anatomy Game,HSP,100,2025-08-21,"100,000+",True,True
com.deutschfordoctors,Medical German Language,,31,2025-07-30,"50,000+",True,False
co.loona,Loóna: Bedtime relax & Sleep,HSC,100,2025-09-03,"1,000,000+",True,True
com.sleepmonitor.aio,Sleep Monitor: Sleep Tracker,HSC,100,2025-09-04,"10,000,000+",True,True
com.gamehouse.hm2gp,Heart's Medicine: Time to Heal,other,100,2025-08-20,"1,000,000+",True,True
io.strongapp.strong,Strong Workout Tracker Gym Log,HSC,100,2025-09-02,"1,000,000+",True,True
com.pathwaymedical.pathway,Pathway – Medical Knowledge,HSP,81,2025-08-20,"100,000+",True,True
wikem.chris,WikEM - Emergency Medicine,,100,2024-07-20,"100,000+",True,False
com.wam.android,TELUS Health One,HSC,100,2025-08-28,"500,000+",True,True
com.westsamoaconsult.labtests,Medical Lab Tests,HSP,100,2025-08-27,"100,000+",True,True
com.ptwired.taylorrehabpt,Taylor Rehab Physical Therapy,,3,2022-08-06,"1,000+",True,False
com.periodtracker.periodcalendar.ovulation.periodcycle,Period Tracker Ovulation Cycle,HSC,100,2025-09-04,"10,000,000+",True,True
com.anatomyka.android,Anatomyka - 3D Anatomy Atlas,HSP,100,2025-08-22,"500,000+",True,True
com.groovehealthrx.groovehealth,EveryDose: Medication Reminder,HSC,100,2025-08-26,"50,000+",True,True
com.phonegap.rxpal,PharmEasy: Doorstep Healthcare,HSC,100,2025-09-04,"10,000,000+",True,True
com.production.ksm.generalsurgery,General Surgery Instruments,,100,2023-10-04,"100,000+",True,False
com.habitgenius.habit.tracker,Habit Tracker - HabitGenius,other,100,2025-09-03,"100,000+",True,True
com.xiaomi.wearable,Mi Fitness (Xiaomi Wear),,100,2025-09-04,"50,000,000+",True,False
com.hssn.anatomy3d,3D Anatomy,,100,2025-09-02,"100,000+",False,False
com.dorular.medicaldictionary,Medical Dictionary Offline,HSP,100,2025-09-01,"100,000+",True,True
com.aospstudio.care,Device Care: Device Health,other,100,2025-09-01,"50,000+",True,True
com.tactustherapy.advancedlanguagetherapy.lite,Advanced Language Therapy Lite,,16,2025-09-02,"10,000+",True,False
com.oristats.habitbull,Habit Tracker,HSC,100,2025-08-31,"1,000,000+",True,True
com.applee.car.medsc,MedEx - Clinical Examination,HSP,100,2025-08-31,"100,000+",True,True
com.usbmis.reader.mpr,MPR Drug and Medical Guide,,100,2025-02-21,"100,000+",True,False
br.com.tapps.medicinedash,Medicine Dash: Hospital Game,other,100,2025-08-30,"1,000,000+",True,True
com.mobisystems.msdict.embedded.wireless.mcgrawhill.npdg2015,Nurse's Pocket Drug Guide,,48,2024-01-23,"10,000+",True,False
com.clearcare.clearcareconnect,WellSky Personal Care,HSP,100,2025-09-04,"500,000+",True,True
com.neofect.connect,Rehabit: brain recovery habits,,19,2023-09-02,"10,000+",True,False
com.alt.goodmorning,"Routine Planner, Habit Tracker",other,100,2025-09-03,"1,000,000+",True,True
com.gamehouse.hm4gp,Heart's Medicine - Doctor Game,other,100,2025-09-02,"5,000,000+",True,True
com.shikudo.fitrpg.google,Fitness RPG: Walking Games,HSC,100,2025-09-03,"1,000,000+",True,True
com.quantresearch.exam.nbcot,NBCOT - Occupational Therapy,,8,2025-08-09,"1,000+",True,False
com.AnatomyLearning.Anatomy3DViewer3,Anatomy Learning - 3D Anatomy,HSP,100,2025-09-04,"10,000,000+",True,True
nl.appyhapps.healthsync,Health Sync,HSC,100,2025-09-03,"1,000,000+",True,True
com.clinical.pub,Clinical Tree,,22,2025-08-19,"10,000+",True,False
com.gallant.clinicalskills.learning.treatment,Clinical Skills & Examinations,HSP,93,2025-08-21,"10,000+",True,True
com.soft24hours.medical.terminology.dictionary.search.terms.vocabulary,Medical Terminology Dictionary,HSP,94,2025-07-22,"100,000+",True,True
com.unbound.android.ubco,Manual of Clinical Oncology,,8,2020-09-23,"10,000+",True,False
com.hltcorp.tcrn,Trauma Certified Nurse Exam,,11,2025-06-13,"5,000+",True,False
com.mobilehealthconsumer.mhc,Mobile Health Consumer,,100,2025-06-09,"50,000+",True,True
com.myhealthplanner.mobile,My Health Planner,HSC,100,2025-08-26,"10,000+",True,True
com.seasector.emotionalintelligence,Sintelly: CBT Therapy Chatbot,HSC,100,2025-09-04,"1,000,000+",True,True
com.mobisystems.msdict.embedded.wireless.elsevier.dorlandsmedical,Dorland’s Medical Dictionary,,100,2024-09-15,"500,000+",True,False
com.minerva_medical.minerva,Full Code Medical Simulation,HSP,100,2025-09-03,"1,000,000+",True,True
com.healthandher,Health & Her Menopause Tracker,HSC,100,2025-08-30,"100,000+",True,True
melstudio.msugar,Glucose tracker－Diabetic diary,HSC,100,2025-08-27,"500,000+",True,True
health.mydiabetes,"MyDiabetes: Meal, Carb Tracker",HSC,100,2025-09-03,"100,000+",True,True
com.tjd.tjdmainS2,Lefun Health,HSC,100,2025-09-04,"10,000,000+",True,True
com.irwaa.medicareminders,Medication Reminder & Tracker,HSC,100,2025-08-20,"100,000+",True,True
com.psvn.okulistHippo,Hippo Eye Doctor: Medical game,other,100,2025-07-12,"1,000,000+",True,True
com.northcube.sleepcycle,Sleep Cycle: Sleep Tracker,HSC,100,2025-09-03,"10,000,000+",True,True
com.argosy.vb.anatomyandphysiology,Anatomy & Physiology,,68,2025-01-20,"10,000+",False,False
com.friendivity.symm2.gp,Hospital Tycoon,,66,2025-05-30,"100,000+",True,False
com.medpresso.Lonestar.netteran,Human Anatomy Atlas,,17,2025-07-30,"50,000+",True,False
